Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Angola,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,1.90860,4.48352,3.32946,3.54797,3.96720,2.85220,2.68554,2.97439,3.32290,3.84261,2.69510,2.64561,2.39575,2.73283,2.43413,2.60579,2.71315,2.79384,2.58880,2.47518,3.22071,2.96011,
Angola,Current Health Expenditure (CHE) per Capita in US$,,13.00009,28.92523,29.05480,34.86968,49.77630,54.21236,69.76923,92.84112,135.63153,120.03151,96.66415,121.91369,121.79575,142.88617,130.74234,107.64356,94.10616,112.85147,83.89920,64.65779,55.05102,64.16342,
Angola,Current Health Expenditure (CHE),% Gross domestic product (GDP),1.90860,4.48352,3.32946,3.54797,3.96720,2.85220,2.68554,2.97439,3.32290,3.84261,2.69510,2.64561,2.39575,2.73283,2.43413,2.60579,2.71315,2.79384,2.58880,2.47518,3.22071,2.96011,
Angola,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),1.11099,2.04631,1.30863,1.46560,1.68663,1.27876,1.44412,1.72199,2.13844,2.60046,1.67410,1.71322,1.56334,1.69517,1.31816,1.23424,1.19754,1.29295,1.10391,1.12357,1.70037,1.71114,
Angola,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),0.78781,2.37306,1.97830,2.04550,2.20402,1.48679,1.08414,1.17217,1.10177,1.09508,0.93351,0.85669,0.78030,0.96754,1.03880,1.30197,1.41681,1.41386,1.39671,1.25386,1.34234,1.10559,
Angola,External Health Expenditure (EXT),% Gross domestic product (GDP),0.00980,0.06414,0.04253,0.03687,0.07654,0.08664,0.15728,0.08024,0.08270,0.14707,0.08749,0.07570,0.05212,0.07012,0.07717,0.06958,0.09880,0.08702,0.08817,0.09775,0.17800,0.14337,
Benin,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2.95917,3.30417,3.09589,3.11679,3.23274,3.22346,3.28774,2.93716,2.65178,2.88893,3.00989,2.99708,3.07563,2.86881,2.69112,2.72813,2.79550,2.66814,2.88632,2.50914,2.46970,2.58130,
Benin,Current Health Expenditure (CHE) per Capita in US$,,14.88457,16.79668,17.47256,21.76790,25.34852,25.97800,27.52271,27.74565,29.14166,30.67226,30.38452,32.95032,34.21852,34.83580,33.67949,28.41768,29.34769,29.22344,34.44770,29.37922,30.64244,35.12915,
Benin,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,,,,0.03778,,0.19568,0.19563,0.17297,0.15050,0.20301,0.40051,0.08696,0.26804,0.18978,0.50467,0.18267,,,,,,,
Benin,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),,,,,,,,,,,,,0.05942,0.12462,0.13525,0.12425,0.13451,,,,,,,
Benin,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),,,,,,,,,,,,,0.02734,0.14314,0.05152,0.37767,0.04794,,,,,,,
Benin,Current Health Expenditure (CHE),% Gross domestic product (GDP),2.95917,3.30417,3.09589,3.11679,3.23274,3.22346,3.28774,2.93716,2.65178,2.88893,3.00989,2.99708,3.07563,2.86881,2.69112,2.72813,2.79550,2.66814,2.88632,2.50914,2.46970,2.58130,
Benin,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),1.14175,1.23489,0.97001,1.05843,1.16158,1.06851,1.08109,0.96743,0.74251,0.86785,0.75229,0.65150,0.74686,0.76463,0.57533,0.59083,0.47070,0.45556,0.44922,0.31147,0.27599,0.31783,
Benin,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),1.74869,1.73112,1.71190,1.72168,1.68306,1.61135,1.61293,1.52930,1.27285,1.31285,1.37120,1.37439,1.44892,1.38635,1.43958,1.59796,1.55774,1.54549,1.50180,1.45939,1.45129,1.43553,
Benin,External Health Expenditure (EXT),% Gross domestic product (GDP),0.06874,0.33816,0.41399,0.33668,0.38810,0.54360,0.59372,0.44043,0.63642,0.70823,0.88640,0.97119,0.87984,0.71783,0.67621,0.53934,0.76706,0.66709,0.93530,0.73828,0.74243,0.82793,
Benin,Capital health expenditure,% Gross domestic product (GDP),,,,0.03778,,0.19568,0.19563,0.17297,0.15050,0.20301,0.40051,0.08696,0.26804,0.18978,0.50467,0.18267,,,,,,,
Botswana,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6.10839,6.36608,6.66530,6.40934,6.09126,5.26533,4.87599,5.52081,5.89747,6.62081,6.26718,5.86915,6.35011,6.49914,5.88041,6.10288,5.76838,6.62987,6.04010,6.12193,6.12134,6.30930,
Botswana,Current Health Expenditure (CHE) per Capita in US$,,200.98801,197.28830,200.33075,262.04077,288.94662,273.51932,250.76968,296.56552,315.27060,326.95221,378.64670,415.58109,405.96008,418.32352,402.45758,358.22321,369.84204,444.55603,419.65451,408.89603,358.90552,457.46298,
Botswana,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,0.31870,0.30349,0.27064,,,,,0.81081,0.23291,1.21440,,,,0.17690,0.01509,0.02407,0.18415,0.13818,0.32318,0.27253,,,
Botswana,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),,,,,,,,,,,,,,,0.16162,0.00002,,0.17192,0.13246,0.31148,0.25658,,,
Botswana,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),,,,,,,,,,,,,,,0.00759,0.01048,0.02216,0.01139,0.00546,,,,,
Botswana,Current Health Expenditure (CHE),% Gross domestic product (GDP),6.10839,6.36608,6.66530,6.40934,6.09126,5.26533,4.87599,5.52081,5.89747,6.62081,6.26718,5.86915,6.35011,6.49914,5.88041,6.10288,5.76838,6.62987,6.04010,6.12193,6.12134,6.30930,
Botswana,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),3.25406,3.50531,3.76325,3.60058,3.43439,2.86617,2.79110,3.12949,3.66806,3.41018,3.60706,3.60457,4.09602,4.15482,3.99039,4.13518,3.83727,5.01613,4.14253,4.37294,4.48995,4.82380,
Botswana,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),1.87427,1.96923,2.01738,1.99658,1.96910,1.79434,1.56335,1.56340,1.49065,2.72351,2.34033,1.98073,1.96136,1.76995,1.42248,1.53866,1.60431,0.97649,1.38204,1.16351,1.28099,1.14759,
Botswana,External Health Expenditure (EXT),% Gross domestic product (GDP),0.98006,0.89153,0.88467,0.81218,0.68777,0.60482,0.52155,0.82791,0.73876,0.48712,0.31980,0.28385,0.29273,0.57437,0.46753,0.42903,0.32680,0.63725,0.51553,0.58548,0.35040,0.33791,
Botswana,Current health expenditure by Health Care Functions,% Gross domestic product (GDP),,,,,,,,,,,,,,,,,5.76838,6.62987,6.04010,6.12193,,,
Botswana,Capital health expenditure,% Gross domestic product (GDP),0.31870,0.30349,0.27064,,,,,0.81081,0.23291,1.21440,,,,0.17690,0.01509,0.02407,0.18415,0.13818,0.32318,0.27253,,,
Burkina Faso,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2.95026,2.88835,2.97113,3.14307,4.21721,3.95110,4.51446,5.23373,4.64781,5.08159,5.23958,4.64868,4.60267,5.56332,5.00027,5.13192,5.96067,6.02490,5.00578,5.31869,6.50193,6.37691,
Burkina Faso,Current Health Expenditure (CHE) per Capita in US$,,7.36982,7.52253,8.51982,11.43507,17.09873,17.50116,20.64654,27.04533,28.90426,30.68659,32.86636,33.82439,33.78237,42.40937,38.37066,32.44026,39.64500,43.07156,39.00284,41.07073,54.17697,56.95098,
Burkina Faso,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,,,,,,,,,,,,0.35463,0.54440,0.35728,0.37635,0.20243,0.15963,0.37035,0.35449,0.22655,0.27822,0.25564,
Burkina Faso,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),,,,,,,,,,,,,0.20712,0.50860,0.32714,0.36405,0.18140,0.01512,0.28833,0.31762,0.19644,0.23788,0.23890,
Burkina Faso,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),,,,,,,,,,,,,0.14009,0.03302,0.02872,0.00904,0.01843,0.14451,0.08201,0.01946,0.01029,0.02615,0.00965,
Burkina Faso,Current Health Expenditure (CHE),% Gross domestic product (GDP),2.95026,2.88835,2.97113,3.14307,4.21721,3.95110,4.51446,5.23373,4.64781,5.08159,5.23958,4.64868,4.60267,5.56332,5.00027,5.13192,5.96067,6.02490,5.00578,5.31869,6.50193,6.37691,
Burkina Faso,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),0.96129,0.97162,1.05799,0.98019,1.69978,1.22285,1.43098,1.43213,1.36111,1.64178,1.30631,1.34620,1.06450,1.61237,1.62685,1.45619,2.38926,2.60889,2.12783,2.22394,2.82567,2.73043,
Burkina Faso,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),1.36064,1.35075,1.25371,1.16521,1.39167,1.32996,1.48518,1.54787,1.58221,1.86557,1.76283,1.78585,1.77947,2.30916,2.19314,2.40965,2.17205,2.33171,2.11787,2.25450,2.49576,2.49327,
Burkina Faso,External Health Expenditure (EXT),% Gross domestic product (GDP),0.62833,0.56599,0.65943,0.99768,1.12576,1.39829,1.59830,2.25373,1.70448,1.57424,2.17045,1.51663,1.75870,1.64179,1.18028,1.26609,1.39937,1.08430,0.76009,0.84026,1.18050,1.15321,
Burkina Faso,Current health expenditure by Health Care Functions,% Gross domestic product (GDP),,,,,,,,,,,,,,,,,5.96067,6.02490,5.00578,5.31869,6.50193,6.37691,
Burkina Faso,Capital health expenditure,% Gross domestic product (GDP),,,,,,,,,,,,0.35463,0.54440,0.35728,0.37635,0.20243,0.15963,0.37035,0.35449,0.22655,0.27822,0.25564,
Burundi,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4.22182,5.68180,5.34984,5.27245,7.09573,7.56017,8.71265,9.18554,7.74148,9.23238,11.28197,10.06996,8.63756,8.62835,7.21082,6.29023,7.06148,6.95276,7.29396,9.05011,10.71837,9.10191,
