measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Latvia,Both,All ages,Motor vehicle road injuries,Number,1995,313.863636681342,331.6122548326119,294.3643264386798
Deaths,Lithuania,Both,All ages,Cardiovascular diseases,Number,1995,24186.53389444945,25034.31997793188,22820.441627902306
Deaths,Lithuania,Both,All ages,Road injuries,Number,1995,880.0544168662826,912.517644439705,848.9109743537736
Deaths,Czechia,Both,All ages,Liver cancer due to alcohol use,Number,1995,291.34092656173095,355.5806060220086,233.96833229547588
Deaths,Czechia,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1995,6166.653599666426,6488.250574616523,5830.512272872265
Deaths,Hungary,Both,All ages,Alcohol use disorders,Number,1995,1289.366914289276,1362.6935156452053,1221.4775833581537
Deaths,Hungary,Both,All ages,Opioid use disorders,Number,1995,23.44352622472303,27.384685679061818,19.7289673392788
Deaths,Hungary,Both,All ages,Diabetes mellitus,Number,1995,1865.2568612506184,1975.6484625449227,1753.2265692063222
Deaths,Hungary,Both,All ages,Police conflict and executions,Number,1995,0.6000061701695798,0.8624658108275147,0.3993587126408936
Deaths,Japan,Both,All ages,Alcohol use disorders,Number,1995,605.5307449046119,618.6178747860661,591.5521861291991
Deaths,Japan,Both,All ages,Opioid use disorders,Number,1995,140.54545092026717,147.34648952718044,134.40609503578312
Deaths,Japan,Both,All ages,Diabetes mellitus,Number,1995,9374.30445293405,9852.51992775642,8510.52517671895
Deaths,Japan,Both,All ages,Self-harm,Number,1995,23411.79283091769,23821.150289316327,22669.076675246826
Deaths,Japan,Both,All ages,Police conflict and executions,Number,1995,2.597424814089598,3.394110391730414,2.229312739614445
Deaths,Mexico,Both,All ages,Cardiovascular diseases,Number,1995,84989.49025455028,86610.32738034672,81695.21709033322
Deaths,Mexico,Both,All ages,Road injuries,Number,1995,19077.21721544489,19534.699684029107,18660.907656396015
Deaths,Mexico,Both,All ages,Motor vehicle road injuries,Number,1995,4874.593308912005,4996.029106415902,4756.925941752742
Deaths,Poland,Both,All ages,Cardiovascular diseases,Number,1995,197385.24520576114,202363.86439736444,188157.6701330734
Deaths,Republic of Korea,Both,All ages,Self-harm,Number,1995,6451.845800221581,11790.377627468555,5770.144695331371
Deaths,Australia,Both,All ages,Liver cancer due to alcohol use,Number,1995,206.4713823977543,262.4888171240778,157.39067386139533
Deaths,Australia,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1995,6924.372136586686,7246.742346368301,6506.302783771445
Deaths,Australia,Both,All ages,Alcohol use disorders,Number,1995,291.99916976961487,304.3946994286543,278.61366006278945
Deaths,Australia,Both,All ages,Opioid use disorders,Number,1995,519.6899593327565,566.1070589663192,475.6931077951682
Deaths,Australia,Both,All ages,Diabetes mellitus,Number,1995,2812.191691273085,3017.4687200066187,2548.402218140211
Deaths,Slovenia,Both,All ages,Cardiovascular diseases,Number,1995,7839.080939667423,8198.333754666559,7284.680010442073
Deaths,Australia,Both,All ages,Police conflict and executions,Number,1995,3.234008739524862,4.478387842605426,2.3512053648276714
Deaths,Slovenia,Both,All ages,Road injuries,Number,1995,377.3967603959915,391.91722580650446,363.8806028064485
Deaths,Slovenia,Both,All ages,Motor vehicle road injuries,Number,1995,207.8169633872478,217.6163571862046,198.72217761547324
Deaths,Belgium,Both,All ages,Alcohol use disorders,Number,1995,291.48883904692116,304.0837175826762,278.17955200351713
Deaths,Belgium,Both,All ages,Opioid use disorders,Number,1995,104.26956318434335,112.06845069668304,97.36932673585729
Deaths,Belgium,Both,All ages,Diabetes mellitus,Number,1995,1868.0028708290943,2003.8176663256563,1663.6259745924892
Deaths,New Zealand,Both,All ages,Alcohol use disorders,Number,1995,31.916822689919286,33.638538720838945,30.24244624905238
Deaths,New Zealand,Both,All ages,Opioid use disorders,Number,1995,22.937314225407903,25.81617679873272,20.439192539636057
Deaths,New Zealand,Both,All ages,Self-harm,Number,1995,560.7542586482042,580.4744640649751,540.9571560456645
Deaths,Belgium,Both,All ages,Police conflict and executions,Number,1995,0.08298705221553655,0.12506666757427362,0.05955599633053477
Deaths,Spain,Both,All ages,Road injuries,Number,1995,7027.986434510874,7216.8018217329945,6824.655878502399
Deaths,Spain,Both,All ages,Motor vehicle road injuries,Number,1995,4320.103278998722,4459.879434020863,4182.971467201576
Deaths,Sweden,Both,All ages,Cardiovascular diseases,Number,1995,44896.80584566727,47209.55366314047,40509.400241211755
Deaths,Denmark,Both,All ages,Road injuries,Number,1995,664.69183241961,685.7058587012916,643.4767255493826
Deaths,Estonia,Both,All ages,Alcohol use disorders,Number,1995,419.01974937329425,441.5576480027686,395.8145318560835
Deaths,Sweden,Both,All ages,Road injuries,Number,1995,690.7759823515481,715.0701236624747,662.626076717149
Deaths,Denmark,Both,All ages,Motor vehicle road injuries,Number,1995,376.8922439163755,389.90221925654606,362.47560870608714
Deaths,Switzerland,Both,All ages,Liver cancer due to alcohol use,Number,1995,183.95974234711142,228.58711877397778,141.6103703936237
Deaths,Switzerland,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1995,2862.7846098937684,3025.5166381349663,2690.2412502188267
Deaths,Finland,Both,All ages,Cardiovascular diseases,Number,1995,23161.383612061578,24228.31536898959,21084.65495119552
