measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Republic of Korea,Both,All ages,Cardiovascular diseases,Number,1980,64139.32765118214,69426.19870696409,57590.543015747644
Deaths,Canada,Both,All ages,Cardiovascular diseases,Number,1980,76910.56041385925,79436.096825847,72112.88058113355
Deaths,Ireland,Both,All ages,Cardiovascular diseases,Number,1980,16412.4615132499,16861.10279963759,15635.095517993961
Deaths,Ireland,Both,All ages,Diabetes mellitus,Number,1980,329.2833987578543,352.07554088593287,306.5582111354716
Deaths,Republic of Korea,Both,All ages,Liver cancer due to alcohol use,Number,1980,1177.4122802582842,1911.3197354730105,674.9744654781667
Deaths,Republic of Korea,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,5890.62572860384,7528.565268160132,4707.250784603351
Deaths,Ireland,Both,All ages,Police conflict and executions,Number,1980,0.021897793965455024,0.03681311998839583,0.013937925224870404
Deaths,Republic of Korea,Both,All ages,Alcohol use disorders,Number,1980,1010.4374536528763,1217.6485728147638,750.7273873080056
Deaths,Republic of Korea,Both,All ages,Self-harm,Number,1980,5992.805621669719,13104.264819974516,4439.924847589705
Deaths,United States of America,Both,All ages,Cardiovascular diseases,Number,1980,925426.8076031451,961525.4512683497,848262.4939979033
Deaths,Canada,Both,All ages,Road injuries,Number,1980,5893.329257085228,6024.833046116087,5767.034283908823
Deaths,Canada,Both,All ages,Motor vehicle road injuries,Number,1980,3981.2655558194356,4106.422188651632,3873.0185454881116
Deaths,Ireland,Both,All ages,Self-harm,Number,1980,353.1840194729674,373.4638950559453,335.113942862369
Deaths,Republic of Korea,Both,All ages,Road injuries,Number,1980,14059.90568109814,15220.345800889703,12942.138920882033
Deaths,Republic of Korea,Both,All ages,Motor vehicle road injuries,Number,1980,3982.2696065772247,4872.93953858684,3069.289566651598
Deaths,Canada,Both,All ages,Liver cancer due to alcohol use,Number,1980,203.27451091913318,243.98274571420282,167.3327652124949
Deaths,Canada,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,10284.885486760331,10927.185001966754,9657.03198274536
Deaths,Republic of Korea,Both,All ages,Opioid use disorders,Number,1980,46.83711571953419,58.18999083272367,37.352972859579744
Deaths,Republic of Korea,Both,All ages,Diabetes mellitus,Number,1980,5055.704008811751,5824.487036462915,4470.261938221284
Deaths,Poland,Both,All ages,Self-harm,Number,1980,5817.771813016126,6033.032325413893,5566.072673712594
Deaths,Republic of Korea,Both,All ages,Police conflict and executions,Number,1980,0.1353234682647424,0.3006745132514093,0.01961483487367306
Deaths,United States of America,Both,All ages,Liver cancer due to alcohol use,Number,1980,1099.1637708764936,1231.0708509387944,985.9417116092994
Deaths,United States of America,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,119982.98396973018,123603.24385191062,115445.34824884968
Deaths,Israel,Both,All ages,Alcohol use disorders,Number,1980,41.99087521832643,44.34557521966117,39.769412317434075
Deaths,United States of America,Both,All ages,Alcohol use disorders,Number,1980,6346.952447098667,6466.72210506478,6202.0719375546905
Deaths,United States of America,Both,All ages,Opioid use disorders,Number,1980,2155.20584971257,2286.6218134542696,2018.202513292408
Deaths,United States of America,Both,All ages,Diabetes mellitus,Number,1980,35219.681014123715,36652.611146694086,32997.88766958521
Deaths,Israel,Both,All ages,Road injuries,Number,1980,567.9672564456794,586.583912556915,550.0107201548672
Deaths,Israel,Both,All ages,Motor vehicle road injuries,Number,1980,285.27040079721166,305.045042663012,266.870244955981
Deaths,United States of America,Both,All ages,Police conflict and executions,Number,1980,596.9649680603609,627.284704288883,569.4249594262895
Deaths,Slovakia,Both,All ages,Cardiovascular diseases,Number,1980,26011.192190250495,26948.506345411235,24836.057115351607
Deaths,Ireland,Both,All ages,Road injuries,Number,1980,615.4785513273782,635.5447695783722,593.8277949399641
Deaths,Ireland,Both,All ages,Motor vehicle road injuries,Number,1980,304.63552990666824,316.27517966703164,292.860039455757
Deaths,Australia,Both,All ages,Road injuries,Number,1980,3650.4193746444616,3740.860078552154,3562.1543475974386
Deaths,Canada,Both,All ages,Alcohol use disorders,Number,1980,630.8130686411672,659.9039719703037,603.8281509405253
Deaths,Canada,Both,All ages,Opioid use disorders,Number,1980,178.24291396649417,193.15418263603934,163.84233128966412
Deaths,Canada,Both,All ages,Diabetes mellitus,Number,1980,3055.317590891023,3246.7468544602048,2849.123171151444
Deaths,Israel,Both,All ages,Self-harm,Number,1980,278.53364646731904,293.4582840928075,263.6853341422094
Deaths,Israel,Both,All ages,Liver cancer due to alcohol use,Number,1980,21.336180239300433,29.368525376102976,14.779165473156038
Deaths,Israel,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,937.4854456190144,1012.2381609024496,865.4033563342597
Deaths,Israel,Both,All ages,Opioid use disorders,Number,1980,14.23987172773367,16.56812527827428,12.116697930495063
Deaths,Israel,Both,All ages,Diabetes mellitus,Number,1980,333.84461271683523,351.46710881199164,315.4086007909941
Deaths,Italy,Both,All ages,Cardiovascular diseases,Number,1980,250135.9999957855,259292.79331566155,231581.3601226666
Deaths,Slovakia,Both,All ages,Road injuries,Number,1980,915.5464573004144,985.3082400396684,854.5425734195362
Deaths,Slovakia,Both,All ages,Motor vehicle road injuries,Number,1980,372.2022324395285,442.46790025269604,315.70852012328635
Deaths,United States of America,Both,All ages,Road injuries,Number,1980,56422.44318725286,56993.73784043739,55742.06959906637
Deaths,United States of America,Both,All ages,Motor vehicle road injuries,Number,1980,38833.67759296495,39260.00898462648,38399.640794985564
Deaths,Israel,Both,All ages,Police conflict and executions,Number,1980,0.01567728427069342,0.03111109295601725,0.009673947901283734
Deaths,Italy,Both,All ages,Road injuries,Number,1980,12351.255509442264,12573.844669291333,12098.610331857555
Deaths,Italy,Both,All ages,Motor vehicle road injuries,Number,1980,5183.339665938657,5275.8207692938795,5096.75948531116
Deaths,Slovenia,Both,All ages,Cardiovascular diseases,Number,1980,8889.76135876725,9205.699084929582,8467.56352456661
Deaths,Canada,Both,All ages,Self-harm,Number,1980,3695.542131706178,3867.4148679081163,3511.760063151984
Deaths,Canada,Both,All ages,Police conflict and executions,Number,1980,4.548288055464491,8.426689949151983,2.3086831469177658
Deaths,Slovenia,Both,All ages,Liver cancer due to alcohol use,Number,1980,22.453656378731342,29.07605054400823,16.811727086784806
