Countries,Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,Current Health Expenditure (CHE) per Capita in US$,,,17.00759,17.81492,21.42946,25.10707,28.91982,32.71721,39.9699,43.26077,46.57988,52.36305,52.61354,56.30554,60.18958,60.05854,61.48646,66.90922,71.3343,74.23411,80.28806,81.31976,
Afghanistan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,,9.44339,8.94126,9.80847,9.94829,10.62277,9.90467,10.2565,9.81849,8.56967,8.56191,7.89717,8.80596,9.52888,10.10535,11.81859,12.62082,14.20842,14.83132,15.53361,21.82795,
Albania,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.9442,5.92585,5.66464,5.91141,5.89365,5.72955,5.63177,5.92609,5.509,5.82604,6.23668,6.18298,6.15746,6.28286,6.43451,6.46412,6.72933,6.57849,6.66845,6.86214,7.5192,7.26732,
Albania,Current Health Expenditure (CHE) per Capita in US$,65.15012,73.78884,78.99478,106.29218,138.1134,152.12762,166.81383,212.61096,240.41626,239.44386,255.31819,274.77689,262.28854,278.04251,295.1236,255.35635,277.04321,297.46198,351.30121,367.75839,396.88025,464.74286,
Algeria,Current Health Expenditure (CHE) per Capita in US$,62.11769,67.3385,66.9476,76.23547,93.02433,101.30373,117.43314,151.77921,207.84882,208.93501,230.06392,288.31332,336.67267,333.16028,361.15942,292.27518,261.40024,265.83844,266.46469,235.99042,206.03513,204.56662,
Algeria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.48903,3.83788,3.73004,3.60104,3.54407,3.23516,3.3551,3.82142,4.20188,5.3594,5.11717,5.26748,6.00051,6.03576,6.54721,6.96321,6.58905,6.53308,6.3873,5.86751,6.14269,5.52834,
Andorra,Current Health Expenditure (CHE) per Capita in US$,1287.00281,1336.21143,1486.17188,1772.71338,1990.07483,2214.64697,2139.27539,2489.43115,3046.36206,3025.30884,3698.80835,3913.98706,3013.51465,3041.84155,3089.84302,2688.2063,2755.44849,2873.29614,3164.38843,3026.59741,3269.29736,3505.99146,
Andorra,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.95276,5.85824,5.99621,5.54772,5.28847,5.59477,4.9653,4.92347,5.67066,6.08094,7.67538,7.62061,6.71084,6.79964,6.77308,6.91586,6.90522,7.07143,7.37542,7.32325,8.78674,8.33449,
Angola,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),1.9086,4.48352,3.32946,3.54797,3.9672,2.8522,2.68554,2.97439,3.3229,3.84261,2.6951,2.64561,2.39575,2.73283,2.43413,2.60579,2.71315,2.79384,2.5888,2.47518,3.22071,2.96011,
Angola,Current Health Expenditure (CHE) per Capita in US$,13.00009,28.92523,29.0548,34.86968,49.7763,54.21236,69.76923,92.84112,135.63153,120.03151,96.66415,121.91369,121.79575,142.88617,130.74234,107.64356,94.10616,112.85147,83.8992,64.65779,55.05102,64.16342,
