location,year,Alcohol use disorders,Cardiovascular diseases,Diabetes mellitus,Liver cancer due to alcohol use,Motor vehicle road injuries,Opioid use disorders,Police conflict and executions,Road injuries,Self-harm,"Tracheal, bronchus, and lung cancer"
Australia,1980,224.6408267073107,53175.420093254535,1653.0979582761445,74.91343379540108,2254.1900783873516,127.52032568249884,2.1089366230674185,3650.4193746444616,1746.6998034163848,5293.914875532778
Australia,1981,201.37543767623447,53519.112786791586,1686.2022697633834,94.7860142034429,2045.0410115602383,137.1039943093824,2.5112699335370325,3546.024685669766,1766.7054960740709,5405.44035384828
Australia,1982,202.20959577424685,53790.30382791935,1660.3960107449277,89.81427587453624,2108.0752312448985,167.69515241620434,2.9923877887548276,3456.007451229089,1804.6789506118812,5527.492269402785
Australia,1983,199.41482394200565,52886.55470650461,1725.0826317848175,94.982143752096,1954.82594631714,197.18662612285377,3.7608952036212986,3178.6416909231525,1814.903925613268,5614.889253747682
Australia,1984,219.72132377826588,53371.722621214045,1850.4954526285655,103.9528261173886,1954.8612149644975,224.34541661230003,4.648461605070403,3152.437839828908,1884.3547690485489,5730.5405817047495
Australia,1985,224.2883883872432,53926.064689882645,1924.0735196727237,111.4077901669321,1994.92916032526,244.36168104732124,5.656511989491096,3210.6586096235123,1987.8474355821731,5897.215690682097
Australia,1986,233.08932855612397,52969.13899822274,1967.5750293947087,116.392269648935,1921.7355793685513,239.6620731960654,5.379348952532097,3121.7949969091974,2133.1732409359643,5913.006152608232
Australia,1987,232.62937731547865,53036.48505534821,2038.331624398646,132.11284553203123,1799.2693811529002,249.6705741860553,5.33947776505762,3069.005576054349,2283.335988344258,6077.986087739351
Australia,1988,262.25649809993405,53228.23524977351,2074.9528432298816,136.91292309619018,1963.96702814452,289.25850435404845,5.192908361606716,3098.641319801082,2293.2223463990076,6229.716234576588
Australia,1989,275.98441363286196,53730.31262827264,2159.9615807256514,146.5272949859878,1969.270374925572,311.37694173026176,4.771472426895367,3027.867748752789,2283.5788805621087,6354.902497565197
Australia,1990,270.18242095059367,51656.94756767593,2215.340689369739,151.89328810568773,1745.79163985546,320.9727384142862,4.463879881977329,2673.0005307865304,2359.448220994516,6476.235872393215
Australia,1991,250.12784025594695,50669.10706437687,2303.5206911622768,159.04962181033392,1614.1734961748398,328.98867302479636,4.361432260486102,2430.595591569918,2417.8922952227763,6480.114266236705
Australia,1992,248.10081983608967,51240.39989985046,2427.670709711707,175.2447752277231,1543.683343112207,370.1782545105078,4.068231837834919,2305.888866702598,2394.089384472142,6553.197258719316
Australia,1993,260.66812573874233,50998.29092785672,2578.8986773393353,188.9718195862773,1485.463276286274,405.8758670864256,3.711842738686731,2215.24016980889,2283.9451047578073,6618.206818420933
Australia,1994,277.83019104233375,51806.257048848805,2742.848389112906,199.6504250783966,1454.1220374138768,462.4685695181239,3.7761009313754257,2194.303754338712,2398.5188042171417,6808.396895496925
Australia,1995,291.99916976961487,51533.686884567534,2812.191691273085,206.4713823977543,1449.750181604236,519.6899593327565,3.234008739524862,2193.353079849055,2452.706331835099,6924.372136586686
Australia,1996,287.9884906763923,51461.08982816022,2945.7649998313254,219.75221164804313,1432.5775250958038,555.7890774984526,2.8372027889441043,2150.6668514940225,2592.7968708327408,7001.421871786695
Australia,1997,302.3978322659195,50395.46650482852,2899.0456484062656,234.7770318213688,1327.7682890682424,603.733758566817,3.5000587230452087,2023.3758754604005,2730.4703476781247,7040.194001001445
Australia,1998,280.09154980633525,49906.57982556974,2872.674634758374,241.5588795437639,1292.0330725942324,640.0853816078927,4.020246398148033,2009.282938900854,2765.476607523772,7111.809509062351
Australia,1999,302.4190085757886,49167.3759901082,2916.29342750221,263.4811095189687,1308.034640305381,619.5423229439956,3.998905461882411,2012.5002502719392,2672.391304868357,7157.661387622878
Australia,2000,311.7891477252516,48259.92150975026,2989.5192263926056,286.9303089537729,1315.6018922346725,535.681368528611,3.727533317478402,1996.133459684674,2564.7623970799373,7252.012740635871
Australia,2001,304.7413747926404,47788.31508010549,3076.707404872759,304.72308745171944,1245.0147774850295,415.9009207937917,3.110596130785755,1921.2264989217065,2523.3915278895147,7331.016135930656
Australia,2002,319.1552812577242,47770.58794351142,3242.650203717575,320.6591288329074,1220.9435748465116,360.27937676100106,3.139857540375313,1868.510652130112,2432.802789633263,7472.319538162909
Australia,2003,322.53782823805517,46959.54553016464,3387.0115636881796,331.7537249965234,1183.4031507440632,337.4594853079293,2.4895541480832883,1803.927873304213,2357.350960066378,7500.949681412339
Australia,2004,321.43802893764024,46020.0867549721,3477.5678666433837,345.3429556029712,1145.4938340830386,319.5583303797235,2.2149219207245645,1760.9631285545904,2322.845328524939,7742.146100189829
Australia,2005,339.1659262427146,45270.02104772119,3525.091997455348,359.99186722691854,1126.9361021901548,304.5947009260136,2.1223336659078766,1752.477688473337,2285.5295929662807,7812.549168155962
Australia,2006,364.52353129540904,45297.044976871235,3679.738704507091,386.76437117729574,1118.949594678013,293.00646892144016,2.5078156013472026,1744.793702028095,2326.312922905423,7923.8470061335565
Australia,2007,400.35754323543745,46294.88871567032,3878.401211944371,410.873776998399,1106.1844465949928,303.28158996210647,3.0768404977896764,1710.8568385363667,2441.0580444662146,8160.085975522578
Australia,2008,414.13355509374907,47109.967534814765,4070.809019933075,450.0802270669927,1062.6764170334873,324.9834053343413,3.2100771273527196,1668.3567739795683,2556.922373268215,8356.488360641091
Australia,2009,406.6470160272299,46337.921339983106,4127.287906005721,475.5455986771967,1049.7515033613493,347.6791962823531,3.4384222243488964,1651.5126785551631,2579.811770772692,8517.237460261264
Australia,2010,409.46183802361105,45974.91396897358,4115.574109080223,501.1345498155975,985.0845957568572,363.7045650741365,3.5253825976478836,1581.0775661590924,2662.187050049856,8416.9736553876
Australia,2011,394.9558311274851,45644.86616279047,4169.452678405033,517.9324562596672,938.3837885032503,376.7702263206514,3.2927327966995255,1507.0721154417763,2644.756648455282,8540.42956602852
Australia,2012,377.1357621050955,44697.092605460115,4051.384068671987,536.1655098285121,903.3077071355968,383.52597777881306,3.5962531472212085,1469.1513630810896,2735.1163276574666,8647.15378941159
Australia,2013,371.4342290316543,44581.74691085462,3578.553436523636,570.9104882931892,854.822280451714,399.6759177183502,3.7288310581414383,1404.086715318154,2808.2247046373623,8746.442111259255
Australia,2014,402.94600273366297,45423.32055394179,3487.570694377181,602.7009412675278,854.0957381165454,430.32192874760096,4.768397187681557,1401.3742727248195,2987.604474245504,8966.77241952296
Australia,2015,433.1799548454238,45957.93350955248,3638.270990849437,660.7037646165392,870.2229010913888,457.5518932518741,5.347416933565443,1422.955393181279,3106.4698058804693,8959.355408722378
Australia,2016,437.6871663810434,45179.63529389829,3736.964915174605,698.5676908419896,875.4440247267719,471.98910048290975,5.9565650484133315,1429.9252940883057,3055.164882705505,9215.302225182875
Australia,2017,431.028492864284,44678.795693452346,3847.987585313006,735.8322994646385,856.79594189289,478.2352633073546,7.047184736081354,1389.154273131276,3184.800638648518,9305.79295187809
Australia,2018,420.2249722606469,44093.93687279783,4069.98287249751,787.278507482218,846.4600759917488,490.0695982965359,7.180885102311983,1386.944940652499,3241.932447034042,9497.40132709865
Australia,2019,440.22653792381016,45913.245694825506,4234.321081897731,831.015178387238,903.8432835796292,530.9676579019125,7.425099544927049,1472.6225006058942,3422.1909916047844,9926.360905927791
Australia,2020,421.9789022469264,44224.47639014942,4096.350249522827,833.2480106200968,863.9219765837472,510.7222003169614,6.78251559682231,1403.665093521057,3264.9328950414188,9609.44028790191
Australia,2021,437.2875214697578,47254.46962854486,4377.265536115834,890.1685282738464,875.6775356355608,542.2155849082309,6.658006423197645,1426.221713938833,3316.465533363272,10246.229411697228
Austria,1980,231.35509692589156,46142.789037073315,1268.2119564346078,188.9584007007157,931.8439000046671,40.37646825017405,0.796238089451997,1970.840230695006,2085.0442206213224,3519.539371917782
Austria,1981,209.53893345984213,46120.43297142928,1311.6374405023723,190.22001160140888,926.2227348861708,42.554267035837746,0.6917203438850182,1932.203056293493,2125.0577951797454,3489.6070197418776
Austria,1982,207.45061274569247,45871.22379179726,1303.8172049835623,192.12838594027943,936.1751294313128,44.338762623899086,0.6121256883418322,1948.6982377063216,2146.006424390072,3481.6490181108416
Austria,1983,206.49466878950471,45890.45666564524,1350.5962477329376,202.47510934641355,927.9576829819543,44.959606335398995,0.5022571483401475,1961.2137317801105,2121.623866901509,3507.6703404784676
Austria,1984,209.4091779860576,44704.182060755214,1299.6799005286698,194.5224719205169,868.436265277639,43.964628437335904,0.3995808315982375,1852.816122316636,2131.426612218095,3526.1137374677164
Austria,1985,219.34071521433984,44455.685094619235,1373.2009751466414,190.073020864856,766.7124219663012,43.72441701366815,0.2062226022804459,1656.8592155121282,2150.252551130305,3443.637009622561
Austria,1986,223.96553279707467,43693.0596392332,1435.7878377138832,191.79052163762125,740.8586895021408,43.82024240160878,0.2889973361743713,1564.4063264334957,2142.667627921555,3388.228689902981
Austria,1987,212.76008324622737,42261.69167882831,1457.300877237711,179.4214871588815,748.2991698850678,47.831031280720424,0.2080772679848609,1526.295093198216,2073.5194111955834,3397.352035400527
Austria,1988,220.05410303294445,41348.61120850068,1504.510923194323,159.15128126313857,772.0850748387887,54.83601981472087,0.3704132050686785,1532.7408231031045,1961.3574824744564,3406.727378882362
Austria,1989,239.24378516553045,40776.451183774254,1672.726159313598,158.45844784902448,771.8144592314846,62.9247394996335,0.5297748791596965,1515.0475380572182,1937.4375567222507,3389.674886029306
Austria,1990,249.7752646596499,40056.58004322653,1830.9641473819336,181.3201481848635,758.9204775414627,74.52385504411508,0.6589859984837887,1472.8307940456937,1870.2936266215556,3447.900618333177
Austria,1991,271.3091056957097,40355.29623331691,1787.920918619222,199.82457123455904,722.1271798073174,92.46014174761665,0.6435377555233918,1421.7756249563597,1834.3403006007377,3481.2009650323293
Austria,1992,270.1199820515766,40223.51056357303,1675.071533167825,199.26122127604089,684.6638780131866,109.92099005371853,0.5017581383926869,1329.9147870138625,1816.2004194267456,3446.001808622906
Austria,1993,258.15203804843145,39969.29214658115,1622.236816674547,207.65028887705057,691.731564635152,126.98169675950506,0.3296029394945743,1302.5818952888676,1795.0357170494776,3477.626513297797
Austria,1994,258.21643533137154,39561.21938321155,1601.100202800539,211.89719093437685,684.630725456661,139.9252252771399,0.1182561859317787,1262.9700809634478,1807.2792014586032,3396.9036872758093
Austria,1995,288.5840294007334,39665.57575708352,1645.8599419515217,223.3654588790581,632.083480986818,145.17930820582228,0.0791173970589254,1153.0858383207924,1797.0317640358055,3420.7648134329665
Austria,1996,306.05521414735796,39959.2715044424,1612.2928241183288,239.61143828401975,585.2928243712599,143.92015429600156,0.1158206242398623,1059.1850146705822,1766.9878936552109,3424.497577087426
Austria,1997,304.73122022731656,39447.23763071565,1545.1855607839448,251.3088858853424,564.3769596888333,135.6833814886071,0.0995815005695632,1023.7315946100005,1649.846231665795,3432.233466211249
Austria,1998,313.1124019062271,39071.50660883441,1457.4643344650665,250.02647546661336,533.4192021475325,133.4779568273112,0.0556145766521353,967.1232309127696,1613.366272281045,3477.357848075566
Austria,1999,315.7570867702687,38108.02072526414,1463.1049856679392,261.1146804192372,528.1110166525101,136.1924823588542,0.0570097156354148,966.5313199720924,1587.9735723965298,3444.3207405482285
Austria,2000,325.04505699567443,36429.6655226829,1451.9014245909134,269.18743059724727,488.8481223486448,143.21665411165378,0.1074570047309996,924.280719778917,1586.4334905212197,3456.3936319674544
Austria,2001,336.4181878177753,35085.53091960293,1501.969300809806,281.9349107093795,458.9079150913753,142.02952902389617,0.0920327070975312,897.5656542125707,1544.8143506590698,3435.186591725581
Austria,2002,337.8177559939981,34308.12039947896,1598.9327357753468,306.6021504504923,415.9671770934718,142.7383043511121,0.0544778895756001,875.9875544007748,1558.9647416687176,3553.385976065674
Austria,2003,361.8601803984086,32866.90759899683,2058.45796200538,326.3007761161236,398.4192480551744,152.52183080332867,0.052774412926083,859.3909092282527,1513.963189112103,3607.254593872156
Austria,2004,377.4198482988148,31266.502647949717,2496.0474496653223,343.16788220378606,378.6040575493416,159.32515697778746,0.0348706211469448,814.5372517940123,1488.4079866222014,3707.2283246937577
Austria,2005,362.4587680969093,30762.122668564585,2612.998753342462,352.27302421062655,357.79972399697533,165.16466389573756,0.023192961157464,766.3258504948463,1470.8299003452146,3681.311321298165
Austria,2006,366.3384137864545,30432.170831339867,2528.8367909466524,359.54341973383424,331.9904164452569,167.03237992142644,0.0191446899938388,724.7901796922296,1430.8329268415891,3733.0724351239614
Austria,2007,392.5243052346141,30561.5815608697,2308.926603311468,358.11459728325497,314.1613852258477,170.8834485008956,0.0177439615607474,698.6505947712492,1400.1708272686565,3802.1491218627134
Austria,2008,420.7841253187707,30369.148022679063,2289.8875049573953,367.45315136967895,293.45779120605266,175.9014974166016,0.0166663961473861,665.0691871157418,1397.3971478671394,3936.686248403488
Austria,2009,448.9942659708796,30943.18240523124,2218.6801465469343,392.473355704085,275.1779055150336,180.11913321592246,0.016562755220581,631.7885609592151,1418.7227173968076,4022.7255273916426
Austria,2010,434.0770974891729,30769.969207083606,2073.1737889115234,409.42054344645464,254.87314492428217,179.80572512462192,0.0167709745344016,582.3365779390741,1435.503759311139,4015.7945114180784
Austria,2011,435.8429275967211,30727.800164774948,2033.9081581754524,409.3730692052777,235.80532809007116,177.09137195482973,0.0206728258392994,555.7871181868115,1464.9806913465984,4092.023839177163
Austria,2012,449.3878252696706,31180.82560507976,2023.777353818835,436.80469417336474,228.4511787590978,170.06734080302877,0.028450406194576,535.7969695925078,1480.195431982067,4162.078148581875
Austria,2013,456.53999037753965,31459.965671593603,2045.6232514109483,452.81221451008753,203.89295661005485,162.4058804202179,0.0512912649883676,492.14666049175514,1486.157443080832,4237.399600285176
Austria,2014,464.4094093885655,31410.311393048793,2133.297276862861,459.2583585532459,195.23387592010192,154.9278717893767,0.052940232433599,474.6118473854241,1493.2300294093152,4365.331729794216
Austria,2015,487.4770340863693,31827.85135516849,2254.359562627114,463.59617452152855,193.8626014263893,153.35167157104456,0.0858262402887156,472.7590415335028,1490.6474501529517,4308.937713197263
Austria,2016,487.1045968854118,31336.051853287787,2258.547135872915,449.01507098632106,188.396202204679,150.6599727781197,0.078087711204629,457.1418611185978,1473.0101905735028,4324.451514112489
Austria,2017,488.90357902159815,30960.240887228058,2218.2742779108003,467.0588761310065,188.01118172097105,150.65349232508316,0.0378295721180931,450.88687526336986,1467.9329424662285,4298.070151664657
Austria,2018,509.1918593046979,31207.476486198033,2225.9818471863773,473.81637370816213,182.6491223337705,160.30288553572893,0.0242121972679165,450.61196386355147,1468.1805636835502,4423.296066666936
Austria,2019,489.2739616244422,30687.769081519797,2093.005859200826,488.6157172291976,179.3346713531075,167.23778809018404,0.0191815646659473,442.56604933342544,1414.7368499963868,4367.919894453725
Austria,2020,468.0421999217521,31302.721348355808,2133.7009954241175,494.8098433083032,166.74898670153718,158.53072350738267,0.0163560984163528,416.3222132852567,1334.2969700926708,4315.197166316398
Austria,2021,446.60492571732925,29290.082511623037,2009.5439345169707,495.0834607433904,164.26497872828674,162.1425997703763,0.0152973533825873,405.24964975584936,1287.858450061895,4119.503648158333
Belgium,1980,333.12616168939866,48688.08301458636,2693.825812995974,144.06074982555072,1190.2486028932603,50.4028033509495,0.0569578960774185,2623.370778380287,2398.2133347665385,7404.420678735632
Belgium,1981,298.3297238447597,48400.93804576685,2513.8404405782276,133.8493784709956,1239.4412817428738,49.9582053877093,0.032502071871248,2468.5537280008,2394.45176861658,7443.93786519164
Belgium,1982,278.8541298771231,48336.17864970123,2405.506471891402,129.59255209944627,1228.4282229521027,48.41364661913134,0.0311772456826462,2365.9897292311452,2413.918680199782,7434.287973751986
Belgium,1983,268.4116166475089,48352.35275656632,2388.787739109078,133.87878125733585,1191.9209972014949,46.967600083335725,0.0374608512171098,2335.260403068783,2446.7566843233312,7593.433910905447
Belgium,1984,263.4951676997903,47178.55281022444,2349.7863675974486,139.83073827214423,1013.86383396015,44.66727595692987,0.065109106850936,2202.23088776796,2475.321928124858,7574.082323259333
Belgium,1985,247.76742711465417,46469.62795497043,2325.1411860148264,158.26054140496305,908.1731506084562,41.87434517637413,0.0620829397572361,2101.369741755084,2396.9118375803732,7824.864607060132
Belgium,1986,257.6398830458836,44991.05121987753,2219.044037547912,140.10785005529056,862.3692145221765,41.459628141504226,0.0619786325373545,2167.528859800504,2371.6312099910774,7742.55763533092
Belgium,1987,246.4124359036178,42484.5579732686,2114.776124892028,132.94989540851452,844.1189917912474,40.87287503094813,0.1181329256635292,2202.303860088717,2339.508461697126,7788.504309954003
Belgium,1988,250.97158136871704,41476.07992007088,1981.4980240898096,157.50391135363472,807.9250831509429,44.01416840728632,0.1287627603521005,2082.883215671012,2174.2990646862777,7780.324123929636
Belgium,1989,255.42482818615528,41056.54708652925,1935.4029125666657,168.7879649076605,829.6365593881202,50.04328409704759,0.1416327961650521,2044.3604790845147,2102.867066348315,7621.495514180197
Belgium,1990,257.09310961153625,39794.97979038526,1875.5172881752023,170.84652098039058,883.2709783736108,59.08662792515725,0.1570138699651708,2003.2403724703267,2061.195175914949,7735.12714718447
Belgium,1991,272.1053944434889,39085.49624332027,1804.386425992604,169.1808173694193,901.83824252454,70.02448358006986,0.1636732463544177,1968.215901186912,2059.242786275926,7737.713070433941
Belgium,1992,290.24393089589495,38778.03630211914,1828.1534945734345,169.59481368710644,878.200571881505,79.44157028762604,0.1747365406552792,1887.382270636897,2160.4316253405577,7744.492797444805
Belgium,1993,304.6251078371919,38398.98610805948,1910.9289673948176,187.11245188571473,925.3011575365282,89.9735109436457,0.110191050273551,1862.4294813652084,2275.832344376297,7660.93576014364
Belgium,1994,313.128077241224,37625.68062484977,1869.4711295908744,198.17642358223245,950.0447281372508,98.37325784291173,0.1366931313214386,1848.606286412736,2295.044950321886,7561.149084377804
Belgium,1995,291.48883904692116,37303.46320217965,1868.0028708290945,207.70439309095153,911.7561887597132,104.26956318434335,0.0829870522155365,1721.8155244214422,2292.7250487658875,7601.434151442839
Belgium,1996,296.49724875006785,37514.36305089099,1854.8969420073247,220.48056330139192,863.4896645887994,108.35859501222116,0.0725009381869494,1619.9421669142243,2253.3977206538943,7389.570772232867
Belgium,1997,307.4800950603537,36719.5592716047,1915.7494948208084,222.93275806118865,854.1206976159915,109.8956390726102,0.0422664372150573,1592.6505160276508,2260.8652344717248,7460.173356612246
Belgium,1998,341.59790533235685,36650.60224776264,1958.214451354071,228.4664189916197,836.830529111437,109.9978464805891,0.0332607326250316,1628.5218078056837,2238.810679974949,7331.320196249288
Belgium,1999,348.61775656842445,36277.204537696234,2176.8693792865015,228.2765323436307,819.7179417436425,116.29258865542626,0.0292740597658327,1644.198487161785,2185.5892087279603,7305.961866979125
Belgium,2000,375.67204783102846,35782.64108189789,1805.1758625796888,207.66810824615584,811.3095779286772,123.596148704573,0.0243312135118478,1631.8164651731806,2219.3626823130944,7244.224764356712
Belgium,2001,387.4114683744233,35084.47241262163,1727.5134326723958,201.02857149208305,773.0880168758333,125.00556981627771,0.0216282077748676,1576.8317071012193,2221.3731383496224,7226.792761099307
Belgium,2002,380.02983334852945,35451.37946866879,1779.1917867330376,198.9784574291855,700.5024134011868,123.96688289213697,0.0204948588551384,1451.4003865785662,2189.8207020696577,7117.3776922677525
Belgium,2003,376.7590019853495,35558.630724617986,1830.6205658848771,182.17594113530225,639.926809201263,125.40797376664094,0.0209244389665282,1328.7065885287943,2203.1888492918984,6773.400717126757
Belgium,2004,373.8500903674155,34053.67794273853,1819.562645687848,190.2034475035979,598.1713051362882,125.00192684930954,0.0214079305506956,1242.0609103137317,2141.1266546498414,6967.3015201732305
Belgium,2005,379.1241597633188,32956.542616363586,1789.7474305374076,206.10935204463465,564.4391698328782,129.5189009837795,0.0239531514194855,1192.0430012220304,2152.478287628611,6993.8656375909495
Belgium,2006,387.55782737357066,31906.26935794638,1744.0390874925504,212.2095156894001,538.9765523395438,132.66033806300402,0.0286082782838147,1160.427062633094,2110.0097878145757,7030.273402568349
Belgium,2007,405.75512199297606,31670.146622554887,1750.4901393443308,223.5803578843583,533.1952503028112,139.8773302772987,0.0357022232026682,1155.8427052895595,2081.328861857619,7148.7671593752275
Belgium,2008,438.1113866320146,31607.872142220134,1818.1518553757005,239.26720916648836,495.9216338723677,145.49261019152203,0.0423233181878966,1078.8957815798597,2142.0254137421502,7257.9813254207265
