Country,Year,Life Expectancy,Population,Type,"Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),countrycode,Region,GDP per Capita,pop,Measure,Unit of Measure,Health Expenditure,country code,adjusted savings: education expenditure (current us$),current health expenditure (% of gdp),domestic credit to private sector (% of gdp),gdp (constant 2015 us$),labor force with advanced education (% of total working-age population with advanced education),labor force with intermediate education (% of total working-age population with intermediate education),labor force with basic education (% of total working-age population with basic education),market capitalization of listed domestic companies (% of gdp),military expenditure (% of gdp),out-of-pocket expenditure (% of current health expenditure),research and development expenditure (% of gdp),"stocks traded, total value (% of gdp)",Alcohol use disorders,Cardiovascular diseases,Diabetes mellitus,Liver cancer due to alcohol use,Motor vehicle road injuries,Opioid use disorders,Police conflict and executions,Road injuries,Self-harm,"Tracheal, bronchus, and lung cancer"
Australia,1950.0,69.0,8177,Country/Area,4120.0,4057.0,66.5,71.7,AUS,Western Offshoots,11815.0,8267.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1951.0,68.7,8420,Country/Area,4253.0,4167.0,66.1,71.6,AUS,Western Offshoots,11966.0,8511.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1952.0,69.1,8633,Country/Area,4367.0,4266.0,66.5,72.0,AUS,Western Offshoots,11824.0,8691.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1953.0,69.7,8819,Country/Area,4463.0,4356.0,67.1,72.6,AUS,Western Offshoots,11963.0,8858.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1954.0,69.9,9003,Country/Area,4555.0,4448.0,67.2,72.8,AUS,Western Offshoots,12419.0,9064.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1955.0,70.2,9210,Country/Area,4661.0,4549.0,67.3,73.3,AUS,Western Offshoots,12795.0,9277.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1956.0,70.0,9430,Country/Area,4775.0,4655.0,67.3,73.1,AUS,Western Offshoots,12924.0,9501.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1957.0,70.3,9644,Country/Area,4881.0,4763.0,67.4,73.5,AUS,Western Offshoots,12895.0,9713.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1958.0,70.9,9853,Country/Area,4981.0,4872.0,68.0,74.0,AUS,Western Offshoots,13238.0,9915.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1959.0,70.4,10066,Country/Area,5085.0,4981.0,67.4,73.7,AUS,Western Offshoots,13753.0,10132.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1960.0,70.9,10287,Country/Area,5197.0,5090.0,67.9,74.0,AUS,Western Offshoots,14013.0,10361.0,,,,AUS,,,19.1163546620117,204552693089.7354,,,,,2.3695451396906,,,,,,,,,,,,,
Australia,1961.0,71.1,10506,Country/Area,5306.0,5200.0,68.0,74.5,AUS,Western Offshoots,13793.0,10599.0,,,,AUS,,,17.6294526004325,209630955779.9376,,,,,2.41513985411521,,,,,,,,,,,,,
Australia,1962.0,70.9,10712,Country/Area,5405.0,5307.0,67.8,74.3,AUS,Western Offshoots,14389.0,10795.0,,,,AUS,,,18.6474027434225,212344121294.87695,,,,,2.3636953699697103,,,,,,,,,,,,,
Australia,1963.0,71.0,10917,Country/Area,5504.0,5414.0,67.9,74.3,AUS,Western Offshoots,14983.0,11001.0,,,,AUS,,,19.2834858569052,225544205184.52307,,,,,2.44663463919568,,,,,,,,,,,,,
Australia,1964.0,70.6,11132,Country/Area,5609.0,5523.0,67.5,74.0,AUS,Western Offshoots,15699.0,11218.0,,,,AUS,,,20.1115241635688,241288179166.1018,,,,,2.64824279705097,,,,,,,,,,,,,
Australia,1965.0,70.8,11359,Country/Area,5722.0,5638.0,67.7,74.2,AUS,Western Offshoots,16182.0,11439.0,,,,AUS,,,21.1266330358298,255718059201.20657,,,,,2.952292961532,,,,,,,,,,,,,
Australia,1966.0,70.7,11593,Country/Area,5837.0,5756.0,67.6,74.1,AUS,Western Offshoots,16324.0,11655.0,,,,AUS,,,22.3808547288984,261801097293.83432,,,,,3.45138290370603,,,,,,,,,,,,,
Australia,1967.0,71.0,11809,Country/Area,5943.0,5866.0,67.8,74.6,AUS,Western Offshoots,17108.0,11872.0,,,,AUS,,,23.0959125859976,278307830410.4073,,,,,3.79376396722358,,,,,,,,,,,,,
Australia,1968.0,70.7,12027,Country/Area,6051.0,5976.0,67.5,74.2,AUS,Western Offshoots,17770.0,12102.0,,,,AUS,,,23.9973980622411,292484137221.4898,,,,,3.83727358459887,,,,,,,,,,,,,
